sig	state	patient	n_state	n_other	delta
M_HSF1_heat_shock_CCDEP	NPC	BT368	525	1194	0.014427176129545027
M_HSF1_heat_shock_CCDEP	NPC	BT389	228	484	0.019334904132464414
M_HSF1_heat_shock_CCDEP	NPC	BT390	22	394	0.010720523417696137
M_HSF1_heat_shock_CCDEP	NPC	BT397	41	169	0.01574203629360671
M_HSF1_heat_shock_CCDEP	NPC	BT400	159	2303	0.02510567154802812
M_HSF1_heat_shock_CCDEP	NPC	BT402	22	521	0.01469893503546571
M_HSF1_heat_shock_CCDEP	NPC	BT409	34	553	0.021087980664666328
M_HSF1_heat_shock_CCDEP	Cycling	BT333	171	216	-0.01655300218519362
M_HSF1_heat_shock_CCDEP	Cycling	BT338	284	193	0.0032765120559148375
M_HSF1_heat_shock_CCDEP	Cycling	BT346	259	726	-0.014067949674458347
M_HSF1_heat_shock_CCDEP	Cycling	BT363	267	1242	-0.0025372224457493875
M_HSF1_heat_shock_CCDEP	Cycling	BT368	709	1010	-0.02009435560547812
M_HSF1_heat_shock_CCDEP	Cycling	BT389	324	388	-0.02313199671835464
M_HSF1_heat_shock_CCDEP	Cycling	BT390	169	247	-0.0076626673669460965
M_HSF1_heat_shock_CCDEP	Cycling	BT397	120	90	-0.01646334935271976
M_HSF1_heat_shock_CCDEP	Cycling	BT400	1238	1224	-0.00807244093918813
M_HSF1_heat_shock_CCDEP	Cycling	BT402	273	270	-0.022165725184277174
M_HSF1_heat_shock_CCDEP	Cycling	BT409	345	242	-0.022031460168615125
